Nitrogen,Phosphorus,Potassium,OC,pH,Crop
178.6,34,132.1,0.41,6.8,Gram
259.9,55.4,206.6,0.78,7.3,Gram
178.8,35.5,159.9,0.64,7.7,Gram
197.8,36.5,133.4,0.53,6.9,Gram
144.8,28.3,132.3,0.42,7.6,Gram
232.8,49,194.5,0.66,6.6,Gram
235.5,42.4,198.5,0.71,6.3,Gram
186,38.5,180.4,0.58,7.3,Gram
187.6,36.4,155.9,0.57,6,Gram
254.6,55.4,180.7,0.75,7.5,Gram
137.7,29,136,0.42,6.5,Gram
173,31.4,131.3,0.41,7.1,Gram
192.4,37.8,139.9,0.56,6.9,Gram
106.3,29.3,106.4,0.35,7.1,Gram
157.3,47.3,140.2,0.5,6.9,Gram
117.4,36.1,89.9,0.43,7.1,Gram
128.3,27.6,107.2,0.47,6.7,Gram
177.7,41.5,175.2,0.59,7.6,Gram
166.2,29.2,127.2,0.54,7.2,Gram
266.7,48.7,173.4,0.69,7.5,Gram
131,35.8,106.1,0.43,6.9,Gram
174,41.6,142.7,0.55,7.2,Gram
220,43.4,192.6,0.62,6.1,Gram
233.3,52.5,168.9,0.67,7.2,Gram
256.8,50.9,189.9,0.69,7.1,Gram
120.3,20.9,111.4,0.37,6.5,Gram
198.6,38.7,157.8,0.6,6.4,Gram
140.4,36.8,122.6,0.49,7.5,Gram
161.5,37.9,123.7,0.51,6.7,Gram
199.5,52.1,176.2,0.73,6.3,Gram
214,40.5,163.3,0.67,7.4,Gram
189.8,41.6,147.4,0.45,6.7,Gram
182.9,39.5,136.2,0.53,7.3,Gram
198.4,47.3,177.5,0.63,6.9,Gram
139,26.2,128.4,0.44,7.6,Gram
198.5,44.3,164.3,0.62,6.8,Gram
152,37.7,159.8,0.44,7.2,Gram
109.4,26.8,108.2,0.45,7.9,Gram
121.7,24.8,127.3,0.39,6.8,Gram
156.3,31.2,116.9,0.51,7.2,Gram
120.2,27.9,104,0.42,6.9,Gram
128.3,24.6,146.4,0.41,7.4,Gram
110.6,32.7,90.6,0.35,7.1,Gram
177,32.3,110.8,0.52,6.5,Gram
240.5,51.1,200.1,0.62,7.1,Gram
106.1,22.1,83.6,0.43,7.3,Gram
105.5,20.5,95,0.37,6.7,Gram
149.8,31.4,139.9,0.54,6.7,Gram
206.9,45.5,168.9,0.63,6.9,Gram
260.9,49.1,205.2,0.73,7.7,Gram
163.3,32.9,124.9,0.46,7,Gram
142.4,35,129.9,0.46,7,Gram
178.2,34,129.3,0.58,7.3,Gram
155.3,36.7,148.5,0.45,6.9,Gram
156.9,27.7,172,0.46,6.1,Gram
131.4,29.7,97.4,0.46,7.5,Gram
152.4,37.1,127.5,0.54,7.2,Gram
164.6,29.6,98.8,0.46,7.1,Gram
166.9,38.1,132.7,0.5,7.1,Gram
155.1,29.4,127.5,0.54,6.5,Gram
256.3,55.7,210.8,0.73,6.5,Gram
273.5,58.4,208.3,0.74,7,Gram
209.4,39.2,155.3,0.58,6.5,Gram
259.5,51.6,220,0.69,6.5,Gram
186.5,43.5,128.2,0.57,6.4,Gram
213.3,47.8,214.1,0.64,6.6,Gram
185,35.7,154.7,0.64,6.8,Gram
157.6,33.9,139.9,0.49,6.3,Gram
147,27.9,131.7,0.56,7.7,Gram
170.2,37,113.6,0.48,7,Gram
235,45.5,176.3,0.64,6.5,Gram
179.7,31.7,164.7,0.66,7.8,Gram
177.8,43.5,117.1,0.58,6.9,Gram
136.5,29,129.2,0.51,7.1,Gram
135.1,35.3,133.2,0.39,7.1,Gram
158.1,30.3,119.5,0.4,7.2,Gram
142.9,38.5,115.4,0.44,6.3,Gram
214,49,160.7,0.61,7.5,Gram
200.5,46.4,174.5,0.62,6.9,Gram
180.5,38.3,159.9,0.55,7.5,Gram
188.8,40.1,157.9,0.64,6.5,Gram
184.3,41.1,155.3,0.64,7.1,Gram
143.8,30.8,153.7,0.51,6.7,Gram
182.6,36.9,154.4,0.67,7.4,Gram
164.8,36.7,154.9,0.53,7,Gram
151.5,29,135.2,0.53,7,Gram
218.4,42.3,154.1,0.63,7.5,Gram
208.8,38.6,160.6,0.63,7.1,Gram
194.6,37.3,142.6,0.43,7,Gram
224.1,52,156.6,0.62,7,Gram
162.7,25.9,97.4,0.4,7.1,Gram
159.1,34.4,120.9,0.49,6.8,Gram
133.6,30,112.6,0.4,6.7,Gram
169.3,35.5,170.9,0.52,7.3,Gram
170,33.7,127.3,0.53,7.5,Gram
187.6,44.7,160.9,0.56,7.2,Gram
277.8,57.8,195.1,0.78,7.5,Gram
143.8,34.1,128.9,0.45,6.8,Gram
220.9,54.1,178.3,0.62,7.1,Gram
173.5,46.8,145.3,0.54,6.8,Gram
221.8,43.7,171.1,0.66,7.4,Gram
168.9,39.3,147.5,0.51,6.7,Gram
207.3,38.6,180.7,0.62,6.2,Gram
115.6,31.9,97.7,0.39,6.9,Gram
119.9,34.5,93.5,0.47,6.9,Gram
132,30.6,121.7,0.45,7.2,Gram
191.7,36.3,181,0.6,6.9,Gram
221.8,48.5,148,0.65,7.1,Gram
137.8,28.6,157.1,0.41,7.5,Gram
250.9,54.5,173.8,0.68,7.1,Gram
158.1,32.4,146.8,0.5,6.1,Gram
134.4,37.9,142.6,0.48,6.4,Gram
212.6,45.8,182.7,0.63,7.6,Gram
159,32.9,144.5,0.55,7.2,Gram
241.8,41.4,174.4,0.75,7.4,Gram
158.1,31.4,142.2,0.47,6.6,Gram
235.6,51.7,174.6,0.72,7.2,Gram
174.8,33.2,133.9,0.59,7.7,Gram
265.3,47,211.1,0.77,7.6,Gram
220.7,50.1,176,0.62,6.5,Gram
247.6,47,177.9,0.71,7.8,Gram
216.5,42.2,175.8,0.57,7.3,Gram
266.2,42.3,180.6,0.75,6.5,Gram
126.3,26.5,138.5,0.42,7.1,Gram
251,52.8,220,0.72,6.9,Gram
207.7,35.9,168.1,0.6,6.8,Gram
180.8,30.7,143.6,0.54,6.2,Gram
86.7,21,114.4,0.42,6.7,Gram
242.6,46.3,198.5,0.75,8,Gram
211,45.6,179,0.67,7,Gram
251.3,54,179.4,0.69,7.6,Gram
280,55.7,209.9,0.8,7,Gram
129.6,20.3,95.7,0.42,7.3,Gram
263.3,45.4,206.3,0.74,6.1,Gram
259.8,49.6,179.3,0.73,7,Gram
275.6,50.1,171.9,0.72,7.2,Gram
113.8,20,137.3,0.33,6.4,Gram
164.3,33.8,131,0.45,7.2,Gram
235.5,49.3,210.8,0.72,8,Gram
117,29.4,131.3,0.46,7.6,Gram
203.2,48.8,147.5,0.63,7.2,Gram
154.2,35.1,155.2,0.58,6.6,Gram
127.2,33.1,127.7,0.51,7.2,Gram
165,25.6,172,0.53,8,Gram
226.5,43.5,139.2,0.67,6.5,Gram
136.3,23.8,137.6,0.48,6.2,Gram
138.2,28.4,124,0.39,7.8,Gram
117.9,23.9,104.4,0.43,7.8,Gram
129.3,25.1,121.9,0.47,6.5,Gram
124.5,20.4,110.6,0.33,8,Gram
155,34.4,133,0.45,7.5,Gram
278,47,220,0.72,6.1,Gram
205.9,40,184.1,0.61,7.7,Gram
259.7,50.5,213.8,0.76,7.9,Gram
197.4,37.9,153.2,0.63,6.6,Gram
185.9,41.7,155,0.59,6.9,Gram
246.9,56.2,201.8,0.73,7.1,Gram
276.6,52.2,200.3,0.78,7.5,Gram
107.1,30,91.5,0.47,6.9,Gram
275.7,60,218.5,0.78,6.7,Gram
99,20,101.1,0.38,7.9,Gram
195.6,53.6,184.9,0.66,7.1,Gram
207.8,36.4,158.1,0.62,7.4,Gram
113.2,23.9,91.1,0.35,6.9,Gram
93.1,20,83.3,0.4,6.4,Gram
86.2,22.8,108.7,0.36,6.1,Gram
280,52.2,220,0.8,7.7,Gram
234.8,49.5,184.4,0.8,6,Gram
176.7,38.6,170.5,0.56,6.4,Gram
151.8,21.1,112.5,0.47,7.9,Gram
81,20,103.6,0.3,7.6,Gram
168.8,38.7,156.6,0.58,6.9,Gram
246.8,54.3,196.9,0.71,7.3,Gram
170.2,37.5,161.3,0.58,7.1,Gram
121.5,32.4,109.8,0.45,7.9,Gram
99.4,21.2,87.6,0.39,7.9,Gram
195.2,40.7,166.2,0.55,7.2,Gram
164.9,36.6,160,0.44,6.8,Gram
197.4,40.4,141.7,0.61,7.7,Gram
102.3,20,102.5,0.38,7.7,Gram
167.6,46,113.2,0.6,7.4,Gram
201.1,42.5,149.5,0.6,6.3,Gram
196,42.3,161.9,0.59,6.7,Gram
90.7,31.4,88.4,0.37,6.9,Gram
93.6,31.6,98.2,0.41,7,Gram
238.7,46.6,191.9,0.7,6.7,Gram
261.8,50.7,220,0.75,6.7,Gram
263.4,54.3,220,0.74,7.4,Gram
157.5,28.9,122.7,0.44,6.8,Gram
280,53.1,220,0.74,6.1,Gram
109.4,23.5,118.1,0.41,6.5,Gram
95.1,20.2,80,0.3,7.7,Gram
242.7,42.6,220,0.64,7.1,Gram
108.4,23.4,95.9,0.39,6.1,Gram
231.2,50.4,210.1,0.75,7.9,Gram
82.6,20,103,0.34,7.9,Gram
143.7,38,136.9,0.48,7.4,Gram
108.5,27.6,129.9,0.39,7,Gram
138,30.6,135.8,0.45,6.5,Gram
217,48,212.7,0.74,6.5,Gram
140.7,33.9,141.8,0.54,7.1,Gram
105.9,23.2,87.1,0.36,7,Gram
146.3,30.7,141.2,0.52,7.6,Gram
122.8,25.4,115.1,0.38,6.6,Gram
266.3,39.8,178.9,0.71,8,Gram
178.7,35.3,150.3,0.61,7,Gram
136.2,23.3,92.5,0.44,7.4,Gram
169.9,31.2,154,0.51,7.7,Gram
170.8,33.2,149.6,0.5,7.9,Gram
262.5,44.3,195,0.75,6.1,Gram
219.6,45.1,187.6,0.63,7.1,Gram
280,52.4,201.6,0.76,7.4,Gram
212.8,44.1,171.7,0.66,6.2,Gram
253.4,43.7,198.5,0.69,6,Gram
172.7,31.5,166.3,0.51,7.6,Gram
112.8,29.9,122.9,0.47,7.4,Gram
116.4,20,106.4,0.37,6.5,Gram
92.4,20,100.2,0.34,6.1,Gram
253.6,51.4,155.9,0.73,6.6,Gram
178.2,41.3,157.5,0.58,6.1,Gram
82.2,24.9,105.3,0.35,6.8,Gram
280,57.1,220,0.77,7,Gram
190.9,32.5,118.9,0.45,7.4,Gram
205.1,35.7,127.9,0.57,7.1,Gram
183.1,28.4,157.1,0.52,6.1,Gram
164.7,37.6,103.9,0.56,6.7,Gram
256.8,55.7,220,0.72,6.8,Gram
280,60,220,0.8,7.4,Gram
196.5,36.5,171.9,0.67,6.3,Gram
206.6,35.9,138.2,0.57,7.9,Gram
145.7,21.7,102.6,0.42,6.7,Gram
164.2,35.4,135,0.52,6.7,Gram
99.4,20.3,112.7,0.44,6.3,Gram
233.1,48.8,184.8,0.74,6.6,Gram
280,60,218.3,0.74,7.5,Gram
209.4,46.2,162,0.59,6.9,Gram
122,20.1,112.8,0.41,6.4,Gram
127.4,25.4,114.6,0.41,7.1,Gram
261.6,57.4,220,0.77,7.4,Gram
214.8,33.3,160.9,0.58,6.1,Gram
80,20,96.2,0.32,7.4,Gram
261.8,56.5,204.2,0.69,7.9,Gram
262.1,53.7,177.5,0.69,7.5,Gram
186.5,37.3,141.6,0.52,6.4,Gram
255.7,48.8,204.9,0.77,6.5,Gram
195,47.2,156.7,0.68,7.3,Gram
186.7,30.3,140.3,0.54,7.7,Gram
198,51.3,160.1,0.65,6.7,Gram
131,31.4,135.2,0.42,7.5,Gram
243.2,47,141.8,0.62,6.8,Gram
202.5,31.7,121.5,0.56,6.4,Gram
251.8,51.4,220,0.79,7.7,Gram
248.4,46.4,211.7,0.8,6.2,Gram
234.6,40.4,193.8,0.72,7.8,Gram
192.8,35.3,157.7,0.6,7.6,Gram
138.4,31.2,118.5,0.43,6.2,Gram
101.6,23.4,85.4,0.3,6.5,Gram
240.7,49.4,207.1,0.73,6.5,Gram
235.7,45.6,173.9,0.65,7.9,Gram
196.5,39.7,166.7,0.57,7.2,Gram
87.2,20,81.1,0.3,7.4,Gram
123.3,22.4,95,0.38,6.2,Gram
226.7,38.3,131.3,0.61,6.1,Gram
169.9,31.5,148.5,0.51,7.7,Gram
129.8,33.1,122.9,0.46,6.5,Gram
265.4,44.8,220,0.8,6.1,Gram
88.1,20,101.7,0.37,7.1,Gram
164.2,37.5,129.5,0.54,7.6,Gram
278.6,58,193.8,0.76,6.6,Gram
229,42.9,180.6,0.63,7.7,Gram
84.1,20,80,0.3,6.5,Gram
90.8,24.2,98.9,0.36,7.5,Gram
209.9,44.3,154.2,0.64,6.9,Gram
169.4,28.2,134.3,0.56,7.1,Bajra
163.1,27.6,129.2,0.46,7,Bajra
208.3,34.8,174.4,0.57,7.4,Bajra
142.7,26.2,128.2,0.4,6.8,Bajra
259.9,46.1,202.5,0.71,7.3,Bajra
215.5,31.8,190.8,0.64,7.5,Bajra
112.3,19.3,99.7,0.33,7,Bajra
231.5,39.4,152.6,0.64,7.5,Bajra
180.2,28.4,148.8,0.56,7,Bajra
189.2,37.5,132,0.57,7.2,Bajra
257.5,39,163.6,0.62,7.1,Bajra
157,27.8,100.1,0.44,7,Bajra
281.3,42.7,182.9,0.74,7.9,Bajra
224.1,33.3,190.6,0.58,7,Bajra
204.9,30.8,165.2,0.6,7.6,Bajra
197.1,35.4,158,0.58,7.2,Bajra
163.7,28,143.7,0.49,6.7,Bajra
190.8,35.7,176.2,0.58,6.8,Bajra
198.6,29.7,122.6,0.52,7.4,Bajra
211.1,35.2,141.5,0.61,6.8,Bajra
186.3,24,140.2,0.57,7.3,Bajra
143.8,30.3,124.4,0.48,7.3,Bajra
212.6,27.4,166.3,0.59,7.1,Bajra
244.5,41.6,185.1,0.65,7.2,Bajra
150.1,30.9,134.9,0.5,7.2,Bajra
202.7,34.9,179.7,0.53,6.9,Bajra
229.2,32,171.7,0.55,7.2,Bajra
192.3,30,153.4,0.56,7.1,Bajra
275.1,46.5,193.2,0.77,6.9,Bajra
146.6,24,137.6,0.42,6.6,Bajra
156.2,25.3,163.4,0.58,7.3,Bajra
168.8,26.6,157.1,0.51,8,Bajra
230.5,30,135.7,0.61,7.9,Bajra
160.7,29.8,118.1,0.54,7.6,Bajra
145.5,27.4,137.8,0.44,7.7,Bajra
169.2,30.1,131.4,0.45,7.2,Bajra
186.7,25.8,135.2,0.5,7.2,Bajra
176.2,32.9,138.5,0.52,7.8,Bajra
176.6,27.7,128.6,0.5,7.3,Bajra
160.5,27,127,0.45,7,Bajra
221,32.8,169.4,0.64,7.7,Bajra
176.7,32,131.9,0.57,7,Bajra
174.7,27.5,151.3,0.54,7.8,Bajra
182.6,37.9,137.7,0.57,7.4,Bajra
194.4,30.9,150.1,0.6,7.1,Bajra
164.2,26.6,153.3,0.52,7.1,Bajra
248.8,38.2,187.6,0.65,7,Bajra
176,27.3,136.7,0.58,6.8,Bajra
178.6,37.8,134.6,0.6,7,Bajra
93.6,23.2,107.7,0.39,7.4,Bajra
199.1,32.9,189.2,0.63,6.9,Bajra
237,33.1,155.3,0.64,7.7,Bajra
228.1,33.1,143.9,0.61,7.8,Bajra
123.3,18.1,100.2,0.38,7.4,Bajra
155.2,30.4,137.2,0.5,7.1,Bajra
198.2,36.4,158.8,0.62,7.1,Bajra
150,23.5,133.5,0.44,7.3,Bajra
132.7,16.9,109.6,0.42,7.8,Bajra
173.9,32.2,152.9,0.59,8,Bajra
127.2,17.3,107.1,0.38,8,Bajra
227,41.7,215,0.63,7.4,Bajra
156.8,24.2,150.9,0.48,7.3,Bajra
127.1,29.6,111.7,0.42,7.6,Bajra
179.6,28.9,150.4,0.53,7.6,Bajra
226.3,37.2,170.1,0.61,7.3,Bajra
141.5,30.6,140.8,0.49,7.2,Bajra
235.6,37.6,184.3,0.66,7.5,Bajra
213.5,35.2,167.4,0.57,7.4,Bajra
191.9,25.8,172.7,0.54,7.5,Bajra
222.2,32.7,183.1,0.59,6.8,Bajra
220.2,30.2,171.3,0.61,7.6,Bajra
227.9,31.1,173.4,0.67,8,Bajra
139.9,20.2,112.4,0.4,6.9,Bajra
186.7,26.8,161.3,0.57,7.5,Bajra
164.5,29.8,143,0.49,6.9,Bajra
173.8,27.1,139.6,0.5,6.9,Bajra
172.4,34.5,141.5,0.51,7.3,Bajra
225.2,36.6,163.9,0.52,6.6,Bajra
148,20.2,135.2,0.49,7.2,Bajra
184.9,34.2,181.7,0.61,6.8,Bajra
200.7,23.9,129.7,0.59,8,Bajra
150.7,28.1,135.4,0.52,7.4,Bajra
232.6,36.5,176.9,0.67,7.4,Bajra
147,25.9,117.1,0.48,7,Bajra
205,29.1,152.6,0.5,7,Bajra
156,18.5,131.5,0.55,7.3,Bajra
167.5,26.3,105.5,0.46,7.6,Bajra
225.9,37.2,142.5,0.63,7.6,Bajra
211,28.2,130.5,0.52,7.6,Bajra
224.5,38,172.8,0.66,6.8,Bajra
219.3,34.3,188.8,0.63,7.5,Bajra
195.5,32.9,126.4,0.56,6.8,Bajra
278,42.9,186.4,0.72,7.1,Bajra
211.3,36.2,174.4,0.63,7.1,Bajra
135.3,18.9,121,0.47,7.2,Bajra
179.1,29.3,129.3,0.49,6.9,Bajra
178.7,32.2,116,0.59,7,Bajra
217.4,31.9,159.9,0.6,7.4,Bajra
169.3,31.7,119.7,0.43,7.2,Bajra
185.7,34,158,0.57,7.2,Bajra
204.6,35.8,164.3,0.64,7.1,Bajra
296.2,43.2,220,0.68,7.5,Bajra
256.6,38.9,220,0.77,7,Bajra
267.1,42.8,205,0.76,7.3,Bajra
168.5,20.5,154.3,0.47,6.6,Bajra
161.7,16,140.1,0.46,8,Bajra
138.5,21.9,117.3,0.48,7.7,Bajra
211.8,33.5,191.2,0.63,6.3,Bajra
137.1,27.6,121.5,0.4,7.6,Bajra
80,15,101.2,0.3,7.3,Bajra
143.6,29.5,143.7,0.43,7.5,Bajra
215.2,36.8,179.4,0.65,6.9,Bajra
159.3,25.2,115.2,0.49,7.5,Bajra
247.7,30.2,187.1,0.67,6.5,Bajra
149.2,20.1,139.3,0.46,7.6,Bajra
201,34.3,135.5,0.51,6.9,Bajra
254.6,42.9,205.2,0.74,7.9,Bajra
169,28.3,139.1,0.54,7.6,Bajra
241,41.7,170.1,0.65,7.9,Bajra
142.9,24.6,139.2,0.43,7.7,Bajra
130.7,20.2,116.4,0.45,8.1,Bajra
148.9,20.3,152.1,0.43,7.9,Bajra
189.3,31.2,161.4,0.58,7.5,Bajra
207.6,33.6,178.2,0.63,7.1,Bajra
155.6,31.3,156.9,0.46,7.7,Bajra
170.7,27.5,120.7,0.44,6.5,Bajra
242,38.2,160.6,0.63,6.9,Bajra
239.2,34.5,183.1,0.64,6.7,Bajra
147.2,16.3,107.3,0.4,7.4,Bajra
136.7,20.3,112.6,0.47,7.5,Bajra
139.9,27.7,135.4,0.47,7.3,Bajra
176,22.4,129.1,0.48,7.1,Bajra
226.2,35.7,145.7,0.6,7.4,Bajra
165.6,27,149.8,0.49,8.3,Bajra
195.7,35.5,174.9,0.6,6.8,Bajra
185.8,42.6,131.4,0.58,7.1,Bajra
162.6,20,141.6,0.45,6.7,Bajra
223.3,36.8,201.5,0.63,7.4,Bajra
173.3,28,139.1,0.44,6.4,Bajra
234.7,37.2,177.1,0.67,7.8,Bajra
229.6,37.1,164.7,0.6,7.8,Bajra
122.5,20.2,143.6,0.45,7.3,Bajra
230.9,38.6,168.3,0.62,6.8,Bajra
257.4,38.6,179.3,0.66,7.3,Bajra
162.9,37.8,162.4,0.54,7.2,Bajra
187.5,37.2,175.3,0.6,7.1,Bajra
164.3,23.4,128.8,0.49,7.6,Bajra
200.4,30.8,110.9,0.51,6.7,Bajra
181.7,30.7,150.9,0.56,8.2,Bajra
133,15,105.9,0.43,8,Bajra
191.7,31.9,163.1,0.63,7,Bajra
195.2,34.4,146.3,0.52,7.2,Bajra
178,31.9,122.8,0.5,7.4,Bajra
159,25.2,128.6,0.57,6.7,Bajra
93.2,15,103,0.38,6.8,Bajra
214.6,37.1,141.4,0.58,7.2,Bajra
223.8,41.3,184.6,0.63,7.9,Bajra
160.4,24.5,121,0.51,7.5,Bajra
132.8,22.5,108.3,0.39,7.6,Bajra
105.6,17.8,84.3,0.33,7.4,Bajra
257.1,43.4,195.5,0.69,7.2,Bajra
141.7,21.6,113,0.48,6.6,Bajra
248.5,35.4,179.3,0.69,6.3,Bajra
232.1,35,159.1,0.64,7.8,Bajra
207.8,34.1,168.7,0.57,7.2,Bajra
243.7,38.9,187.5,0.71,7.7,Bajra
161.8,32.4,140.2,0.53,6.9,Bajra
165.5,19.3,126.4,0.5,6.4,Bajra
171.5,25.2,142.7,0.54,8.1,Bajra
147.9,24.8,148.8,0.48,7.9,Bajra
171,33,134.5,0.55,7.4,Bajra
199.2,22.4,179.9,0.54,7.8,Bajra
239.9,40.9,196.5,0.66,8.2,Bajra
192.3,30.4,158.6,0.59,7.3,Bajra
174.3,24.5,123.9,0.47,6.5,Bajra
171.3,26.8,170.1,0.52,6.4,Bajra
231.8,43.2,180.7,0.65,7.5,Bajra
105.7,15.8,97,0.37,6.7,Bajra
175.4,28.4,142.8,0.59,7.3,Bajra
138.1,22.6,123.2,0.47,7,Bajra
165.2,34.6,164.3,0.54,7.4,Bajra
256,42.8,184.7,0.68,6.4,Bajra
211.4,35.4,181.6,0.59,7,Bajra
125,21.1,141.8,0.46,6.6,Bajra
213.5,36.7,177,0.64,6.8,Bajra
266.7,45.7,220,0.74,7.8,Bajra
156.5,22.3,161.3,0.45,7.9,Bajra
174.6,23.7,158.4,0.55,7.7,Bajra
149.3,22,116.8,0.42,8.2,Bajra
187.7,35.7,159.6,0.53,6.6,Bajra
187.2,28.2,169.9,0.52,6.8,Bajra
244.8,37.5,220,0.68,8.3,Bajra
135.1,20.8,96,0.39,7.3,Bajra
199.4,28.8,158.8,0.63,6.3,Bajra
228.1,36,178.8,0.6,7.6,Bajra
128.3,24.3,103.7,0.44,7.8,Bajra
192.9,32.6,172.3,0.58,7.6,Bajra
222,35.4,190.3,0.61,7.7,Bajra
181,30.6,161.6,0.53,7.5,Bajra
222.9,37,177.5,0.61,7.4,Bajra
243.2,41.9,190.2,0.68,8.3,Bajra
142,20.8,125.4,0.43,6.5,Bajra
265.6,40.3,170.7,0.63,7,Bajra
160.3,34.1,180.6,0.56,7.5,Bajra
131.6,20.5,120.8,0.46,7.1,Bajra
277.7,34.9,191.6,0.72,6.3,Bajra
212.4,35.9,169.3,0.6,7.1,Bajra
148.7,22.1,115.5,0.47,7.4,Bajra
131.6,22.7,118,0.5,6.9,Bajra
257.7,42,196.3,0.65,7.3,Bajra
145.3,23,113.8,0.42,7.6,Bajra
184.2,29.1,164.6,0.56,7.1,Bajra
139.2,18.1,110.4,0.39,8,Bajra
222.5,36.6,182.7,0.6,7.5,Bajra
186,29.7,146.4,0.51,7.6,Bajra
228.5,43.3,163.5,0.62,7.6,Bajra
171.9,28.3,147.5,0.49,6.8,Bajra
191.5,34.1,156.3,0.57,7.2,Bajra
194.6,37,156.9,0.55,7,Bajra
204.5,38.8,177.1,0.48,6.8,Bajra
209.4,30.9,150.6,0.59,7.7,Bajra
155.1,26.4,135.9,0.54,7.5,Bajra
118.8,15.9,109,0.33,8.1,Bajra
136,15,90.3,0.36,6.8,Bajra
158.5,22.6,99.6,0.5,8.3,Bajra
156.5,25.3,124.4,0.51,8,Bajra
140.9,26.7,92.9,0.49,7.3,Bajra
266,45,218,0.78,7.6,Bajra
137.2,23.9,134.4,0.41,6.5,Bajra
269.1,38.4,199.3,0.73,6.2,Bajra
129.9,19.4,123.9,0.45,7.6,Bajra
248.4,36,216.9,0.64,6.6,Bajra
176.2,34.9,138,0.59,7.1,Bajra
133.9,20.7,99.1,0.37,7,Bajra
160.4,27.8,149.2,0.47,7.5,Bajra
250.4,38.2,178.3,0.74,7.3,Bajra
124.1,25.8,131.4,0.47,7.3,Bajra
228.1,37.5,220,0.66,6.3,Bajra
149.9,26.2,123.1,0.46,7.7,Bajra
157.9,22.6,147.6,0.46,6.4,Bajra
233.3,32,153.5,0.68,6.7,Bajra
280.3,41.6,187.6,0.8,6.5,Bajra
226.7,35.9,176.7,0.61,6.5,Bajra
185.6,31.9,140,0.52,7.6,Bajra
185,30.9,117.9,0.47,6.9,Bajra
275.8,38.1,211.6,0.67,6.2,Bajra
201.8,30.5,161.4,0.59,6.5,Bajra
179.7,27.4,143.8,0.49,7.2,Bajra
218.4,36.1,146.5,0.59,7.9,Bajra
157.7,21.1,123.3,0.44,7.4,Bajra
156.1,21.8,114.4,0.48,6.6,Bajra
134.8,21.5,90.3,0.37,6.7,Bajra
146.5,21.7,132.9,0.47,6.8,Bajra
145.3,32.7,100.8,0.49,6.9,Bajra
150.7,24.2,115.6,0.46,7.2,Bajra
141.2,22.9,132.9,0.48,7,Bajra
204.8,31.9,164.2,0.55,6.8,Bajra
226.9,39.2,168.3,0.6,7,Bajra
84.8,18.2,85.4,0.37,7.5,Bajra
153.8,28.4,126.7,0.42,7.2,Bajra
130.2,23.5,119.5,0.4,8,Bajra
105.7,15,100.7,0.38,6.9,Bajra
125.2,20.5,95.4,0.38,7.8,Bajra
182.2,22.4,142.6,0.54,6.5,Bajra
247.2,36.8,204.5,0.62,6.9,Bajra
134.7,26.3,102.4,0.43,7.4,Bajra
194.4,27,115.6,0.51,6.4,Bajra
224.2,30.7,165.5,0.7,8.3,Bajra
209.4,32.7,175,0.68,7.5,Bajra
251.5,42.2,194.3,0.76,7,Bajra
256.1,45.8,178.8,0.74,6.6,Bajra
214.3,32,155.7,0.58,6.1,Bajra
159.7,31.9,96.8,0.47,7.3,Bajra
233.5,28.7,184.7,0.65,8.4,Bajra
266.4,48.5,172.8,0.72,7.7,Bajra
212.6,22.5,171,0.54,6.3,Bajra
118.6,22.3,103.2,0.39,6.7,Bajra
184.3,29.9,157.5,0.54,8.2,Bajra
222.1,35.2,176.8,0.63,7.3,Bajra
114.4,22.3,112.5,0.46,7.4,Bajra
176.2,19.6,123.2,0.5,7.8,Bajra
251.1,38.6,181.1,0.67,7,Bajra
173.8,24.1,99.7,0.54,6.8,Bajra
214.4,36.1,178.6,0.65,6.8,Bajra
141,20.7,128.6,0.4,7.3,Bajra
207.7,32.7,144.4,0.6,7.1,Bajra
179,28.5,117.9,0.52,6.8,Bajra
214,36.6,174.3,0.63,6.6,Bajra
177.9,19.8,105.6,0.37,8,Bajra
189.6,30.9,144.3,0.52,7.6,Bajra
165.1,27.3,166,0.47,7.5,Bajra
139.3,22.8,114.4,0.36,7.4,Bajra
165.6,34.2,108.8,0.49,7.3,Bajra
131.3,24.5,118.2,0.4,6.7,Bajra
158.7,23.6,125.8,0.45,7,Bajra
134,20.2,106.4,0.42,6.8,Bajra
155.7,27.7,107.8,0.51,6.8,Bajra
157.4,31.7,116.7,0.49,7.5,Bajra
155.3,28.5,146,0.56,7.2,Bajra
155.2,23.3,145.9,0.52,6.9,Bajra
140.8,23.4,111.6,0.48,6.7,Bajra
238,37.4,165.7,0.64,8.4,Bajra
266.5,48,205.8,0.67,7.6,Bajra
199.9,35.6,170.1,0.61,7.4,Bajra
144,25.6,119.6,0.45,7.5,Bajra
145.6,19.6,130.3,0.43,6.3,Bajra
131.5,22.6,118.2,0.39,7.5,Bajra
247.4,41.2,178.2,0.62,7.3,Bajra
223.8,33.6,160.5,0.6,6.6,Bajra
286.8,38.9,220,0.67,6.4,Bajra
238.2,40.5,194.6,0.7,7.7,Bajra
275.3,41.7,166.7,0.71,7,Bajra
245.2,35.1,220,0.71,7.9,Bajra
171.9,24.5,138.1,0.44,6.7,Bajra
181.2,32.4,128.4,0.54,8.1,Bajra
129.2,15,126.6,0.47,7.6,Bajra
166.3,34.1,126.1,0.51,7.4,Bajra
224.9,34.6,165.5,0.65,7.2,Bajra
